Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783299431,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1783299432,50,,Aggregated,0.000000,0.000000,280,360,400,420,420,420,430,430,430,430,430,58,0,270,270.8285814655467,12.30490799935069,425.9377999987919,130.17241379310346
1783299433,100,,Aggregated,0.000000,0.000000,300,370,420,430,620,710,750,760,780,780,780,158,0,300,317.91000921523994,12.30490799935069,780.780765999225,130.0759493670886
1783299434,100,,Aggregated,0.000000,0.000000,180,300,340,410,510,670,750,760,780,780,780,238,0,180,220.76907674803073,12.031803002173547,780.780765999225,130.1386554621849
1783299435,100,,Aggregated,29.000000,0.000000,62,180,280,330,420,620,730,750,780,780,780,336,0,61,168.57897594958817,12.031803002173547,780.780765999225,130.21428571428572
1783299436,100,,Aggregated,54.333333,0.000000,48,90,210,280,420,570,700,750,780,780,780,432,0,48,140.276676717711,12.031803002173547,780.780765999225,130.2962962962963
1783299437,100,,Aggregated,61.250000,0.000000,52,96,200,230,390,480,670,750,780,780,780,517,0,52,134.0154035300361,12.031803002173547,780.780765999225,130.31721470019343
1783299438,100,,Aggregated,70.000000,0.000000,51,90,170,210,340,470,660,730,780,780,780,617,0,51,122.37043217022598,12.031803002173547,780.780765999225,130.35656401944894
1783299439,100,,Aggregated,73.166667,0.000000,48,79,130,180,320,420,640,710,780,780,780,715,0,48,111.48217181401193,11.898725999344606,780.780765999225,130.36783216783218
1783299440,100,,Aggregated,75.714286,0.000000,46,71,100,160,300,420,620,700,780,780,780,804,0,46,103.70321917540802,11.898725999344606,780.780765999225,130.47885572139305
1783299441,100,,Aggregated,78.125000,0.000000,44,69,92,130,270,420,620,700,780,780,780,898,0,44,96.92274561694286,11.898725999344606,780.780765999225,130.56570155902006
1783299442,100,,Aggregated,81.000000,0.000000,44,67,89,110,240,400,580,670,780,780,780,994,0,44,92.40301815893332,11.898725999344606,780.780765999225,130.6609657947686
1783299443,100,,Aggregated,81.400000,0.000000,44,69,93,120,230,370,570,670,760,780,780,1088,0,44,90.69891619207189,11.898725999344606,780.780765999225,130.71323529411765
1783299444,100,,Aggregated,90.100000,0.000000,45,70,93,110,220,340,510,670,760,780,780,1182,0,44,88.57817035275703,11.898725999344606,780.780765999225,130.77495769881557
1783299445,100,,Aggregated,94.400000,0.000000,44,69,90,110,200,330,480,660,760,780,780,1283,0,44,85.39344382615178,11.898725999344606,780.780765999225,130.84411535463758
1783299446,100,,Aggregated,92.800000,0.000000,42,64,85,100,180,330,470,640,760,780,780,1377,0,42,81.87860414520767,11.898725999344606,780.780765999225,130.88671023965142
1783299447,100,,Aggregated,94.200000,0.000000,42,62,79,94,180,320,470,640,760,780,780,1474,0,42,79.4945614097384,11.898725999344606,780.780765999225,130.9226594301221
1783299448,100,,Aggregated,93.800000,0.000000,41,61,78,92,170,300,430,620,760,780,780,1572,0,41,77.11067304067915,11.898725999344606,780.780765999225,130.9618320610687
1783299449,100,,Aggregated,94.500000,0.000000,41,62,78,92,160,280,420,620,760,780,780,1669,0,41,75.97953782441529,11.898725999344606,780.780765999225,130.99820251647694
1783299450,100,,Aggregated,95.400000,0.000000,41,61,77,89,150,280,420,620,760,780,780,1756,0,41,74.11830528356431,11.898725999344606,780.780765999225,131.01993166287016
1783299451,100,,Aggregated,95.000000,0.000000,41,60,75,87,150,270,420,590,760,780,780,1840,0,41,72.49172996572547,11.898725999344606,780.780765999225,131.0467391304348
1783299452,100,,Aggregated,94.500000,0.000000,41,60,74,86,140,250,420,580,760,780,780,1934,0,41,71.45870846015464,11.898725999344606,780.780765999225,131.07135470527405
1783299453,100,,Aggregated,94.600000,0.000000,42,61,76,88,140,230,420,570,760,780,780,2041,0,42,71.34152225719745,11.898725999344606,780.780765999225,131.0921117099461
1783299454,100,,Aggregated,95.200000,0.000000,42,61,76,88,140,230,420,570,760,780,780,2119,0,42,70.65605421658232,11.898725999344606,780.780765999225,131.11090136857007
1783299455,100,,Aggregated,94.100000,0.000000,43,62,78,90,150,230,420,520,760,780,780,2223,0,43,71.96619348581085,11.898725999344606,780.780765999225,131.13000449842556
1783299456,100,,Aggregated,96.000000,0.000000,43,63,77,90,140,230,410,510,760,780,780,2319,0,43,70.97882025267171,11.898725999344606,780.780765999225,131.13799051315223
